Site,Date,NDVI,SAVI,ET_PT_ICOS (mm/h),ET_PT_ERA5 (mm/h),ET_TTME_ICOS (mm/h)
Lonzee,2023-06-14,0.5760736130829749,0.4179544504050517,0.36726286514217044,0.3278079699058625,0.2618
Lonzee,2023-07-08,0.8343685506625058,0.6267167912292001,0.7009824681847626,0.7045579378390479,0.6515
Lonzee,2023-09-10,0.2235438047984775,0.15721964329342777,0.21675968327132425,0.33207301932486694,0.1942
Voulundgaard,2022-02-28,0.3959680571843413,0.18367209491080524,0.1565309521131861,0.10620218204001765,0.3083
Voulundgaard,2022-03-08,0.3141127090070874,0.08432916391282395,0.1982400553480899,0.14540367851313946,0.1409
Voulundgaard,2022-03-24,0.33536899246572155,0.15062211884711857,0.12118060122521777,0.14204282881649088,0.048
Voulundgaard,2022-04-02,0.347012814411049,0.1861661297730273,0.045094234529335794,0.08196864055183105,
Voulundgaard,2022-04-17,0.40396010060104864,0.19350590125103798,0.10105335971043712,0.1694797049280376,0.0
Voulundgaard,2022-04-18,0.3765719335981174,0.18048708291229038,0.09515394649199359,0.1188744558601908,0.0
Voulundgaard,2022-05-12,0.37193783023399446,0.20545258130543556,0.2816203663719488,0.18162609562216803,0.0
Voulundgaard,2022-05-20,0.3941444860130182,0.21222800219232876,0.24881783914022224,0.2746001777312404,0.0
Voulundgaard,2022-06-04,0.5291787678036991,0.35037551355563445,0.22905224068847546,0.36174296025218056,0.0
Voulundgaard,2022-06-05,0.5291787678036991,0.35037551355563445,0.2771622424613707,0.3322820977877551,0.0706
Voulundgaard,2022-06-20,0.8843150516478112,0.6551264272410722,0.6720900368094195,0.4223048205324613,0.2763
Voulundgaard,2022-08-31,0.5258409914846981,0.08363504706734257,0.13509665128382517,0.1321405277727416,0.32
Voulundgaard,2022-09-17,0.6275593899993922,0.1330382366326346,0.13861546867167807,0.09325011971242315,0.2352
Voulundgaard,2022-10-02,0.6409841669515336,0.3604390211884139,0.1191038018609198,0.14351255106502672,0.0051
Voulundgaard,2022-10-03,0.6409841669515336,0.3604390211884139,0.18407930532067998,0.14126555481577438,0.1467
Voulundgaard,2022-10-10,0.6818031156778255,0.3533843812889609,0.1313621570686836,0.13329231637400138,0.2954
Voulundgaard,2022-10-11,0.7524393603294044,0.4607067401300801,0.20492018132967213,0.11172920391995883,0.1584
Voulundgaard,2022-10-19,0.7831602891000475,0.4760827869218074,0.18380512453039327,0.13324390548204365,0.119
Voulundgaard,2023-03-03,0.25705643695377156,0.09865608501043661,0.15219628174864305,0.14361332950652025,0.0401
Voulundgaard,2023-04-20,0.3416643427270739,0.20439194774511008,0.11976419082781728,0.1835282178527461,0.0
Voulundgaard,2023-04-21,0.33567920459990425,0.20162005947812744,0.05986993788025011,0.11617434874263312,0.0
Voulundgaard,2023-05-30,0.8910741852194225,0.6995214478585505,0.6196993532486588,0.5490981429663998,0.056
Voulundgaard,2023-05-31,0.8959098444943442,0.730584933429168,0.6342603357101126,0.571473591481956,0.1063
Voulundgaard,2023-06-07,0.92178666700595,0.7481189377476817,0.7412653251303234,0.6692556370978328,0.1545
Voulundgaard,2023-06-08,0.9112350092923636,0.745530498974958,0.7192345578199858,0.653317441604288,0.1485
Voulundgaard,2023-07-09,0.7933023278644266,0.5342992214489973,0.4449236387151123,0.3983920977499627,0.6352
Voulundgaard,2023-09-04,0.35385327470492933,0.20873403513029756,0.3206580269935711,0.3143692221143264,0.1468
Voulundgaard,2023-10-14,0.6859787610348443,0.4064998230538189,0.09771587459060364,0.0880330704518518,0.0
Klingenberg,2022-03-12,0.31459499354203824,0.15471141372658406,0.02249251957574332,0.05297596563943123,0.3222
Klingenberg,2022-03-20,0.31772650746324804,0.16541960884170526,0.07225273378004884,0.08603267495792138,0.2687
Klingenberg,2022-04-22,0.25373783686548806,0.1423709239768278,0.3428879863272309,0.3019730183856523,0.1251
Klingenberg,2022-05-07,0.3778806313484751,0.23758589243914208,0.177281075521615,0.21500546951788288,0.0
Klingenberg,2022-06-17,0.5625874731748931,0.3617267444850105,0.4654335063306627,0.4664931659911353,0.3751
Klingenberg,2022-07-02,0.628341534778561,0.2930144575988533,0.2610478070181784,0.312752473415659,
Klingenberg,2022-07-19,0.4416707914391885,0.267405870092229,0.18984151380135547,0.23406350780661622,0.2774
Klingenberg,2022-08-03,0.41672145158109275,0.23645582054661668,0.182734652073495,0.27453559423597856,0.1601
Klingenberg,2022-10-15,0.4213669300513418,0.22408117423802332,0.060605663290019124,0.1128297510162462,
Klingenberg,2022-11-15,0.6025054563936975,0.36224190204560974,0.12325734305124231,0.11902167021747792,0.2522
Klingenberg,2022-12-25,0.5710527936376674,0.31041161224092917,0.07451794583016041,0.06155092640734004,0.158
Klingenberg,2023-05-19,0.7232029616426147,0.5063006948629206,0.5587569553450509,0.29947642608256997,0.6163
Klingenberg,2023-05-27,0.7409436912777698,0.4848317425596329,0.5238687170641715,0.48317615586629775,0.1317
Klingenberg,2023-06-03,0.7595842609158824,0.4816099850478296,0.467015621231175,0.44332533743739555,0.0227
Klingenberg,2023-06-11,0.7787829818798345,0.5025328212608834,0.5544034229462078,0.43046140207489936,0.3051
Klingenberg,2023-08-14,0.3717587275068742,0.2331044215856019,0.31163264762592674,0.3489271175655642,0.305
Klingenberg,2023-08-15,0.3313728842537185,0.183437440848003,0.19201079423938264,0.30513977102777295,0.1097
Klingenberg,2023-09-07,0.2609821485758206,0.13833089226650636,0.1386809303618828,0.2786934562912488,0.21
Klingenberg,2023-09-15,0.3676083083074709,0.20628679082314424,0.3219047857178372,0.2458951016433185,0.0945
Klingenberg,2023-09-16,0.3820542129327237,0.217660009923096,0.24427761405646847,0.29974944545180365,0.0626
Klingenberg,2023-10-01,0.7231762861196147,0.48331374266736155,0.3309321912433131,0.2934440488244764,0.0
Estrees-Mons,2022-01-09,0.20531111251394046,0.09920825905113094,0.07875833019925738,0.07335827468824406,
Estrees-Mons,2022-01-25,0.21523719389565835,0.09591607211893298,0.11768697283378152,0.10342216406281302,
Estrees-Mons,2022-02-11,0.22247583510311023,0.11180452577751476,0.14495428889543877,0.14664425513350576,0.1308
Estrees-Mons,2022-02-26,0.20192577170997317,0.1009009429558398,0.22340629590363645,0.1588671946496795,0.1721
Estrees-Mons,2022-03-06,0.17522969328518537,0.12266676621797472,0.15986822630761935,0.1480178730593727,0.1524
Estrees-Mons,2022-03-22,0.20595268379547196,0.13597581457843472,0.19658961112647758,0.25007326383573525,0.0141
Estrees-Mons,2022-03-23,0.18170007423904963,0.12182004203074874,0.14810739895872738,0.23142324373571008,0.0339
Estrees-Mons,2022-04-15,0.3321301835141438,0.2118308928135194,0.36729540939257654,0.2921302900133439,0.6536
Estrees-Mons,2022-04-24,0.4132860874171218,0.27953970794543265,0.27857425391548907,0.29660482306477953,0.2008
Estrees-Mons,2022-05-09,0.67966941244082,0.4867156164669917,0.36033088843442584,0.4834127429604379,0.0
Estrees-Mons,2022-05-17,0.7580206516203829,0.5457296937486024,0.26615371140606975,0.5170380923178619,0.0
Estrees-Mons,2022-05-18,0.745809639754871,0.5518074456575444,0.4149498774472259,0.5588065420212643,0.156
Estrees-Mons,2022-06-02,0.794414990912311,0.5513284131849946,0.47091696886133205,0.5450863460972448,0.0
