Site,Date,ET_pure_ICOS,ET_LST_Landsat,ET_Groupe_ERA5
Estrees-Mons,2022-11-10,0.0998742638633846,0.0,0.023629177267028543
Estrees-Mons,2022-11-25,0.1109267134210323,0.0,0.0
Estrees-Mons,2022-11-26,0.086706689828156,0.0,0.0
Estrees-Mons,2023-02-14,0.1272109068105215,0.0,0.05682807812682384
Estrees-Mons,2023-03-01,0.0938931808689043,0.0,0.038678602994496866
Estrees-Mons,2023-03-18,0.277609633357978,0.0,0.08978619264070044
Estrees-Mons,2023-04-03,0.2433036100702952,0.0,0.08939424106007655
Estrees-Mons,2023-04-18,0.384619673299016,0.0,0.33724187796778116
Estrees-Mons,2023-05-04,0.4760309944751137,0.07562034947685965,0.5248589873819561
Estrees-Mons,2023-05-13,0.6154934024953228,0.12451297577698242,0.4373024360972246
Estrees-Mons,2023-05-20,0.5928158154270818,0.10893545847097079,0.4254446334291484
Estrees-Mons,2023-05-28,0.3960451187518276,0.0,0.3202103171476177
Estrees-Mons,2023-05-29,0.3013595279142941,0.0,0.2110138344517996
Estrees-Mons,2023-06-05,0.3831147210950818,0.0,0.25374413379509553
Estrees-Mons,2023-06-06,0.3253816863955855,0.0,0.07280161145684434
Estrees-Mons,2023-06-13,0.5641168200637228,0.0,0.4833039194087586
Estrees-Mons,2023-06-14,0.546890298552883,0.011029981070752037,0.41679536822795643
Estrees-Mons,2023-07-15,0.3376795920396982,0.0,0.09731309843683514
Estrees-Mons,2023-08-09,0.6052673883959914,0.016310243151993174,0.1623399011242762
Estrees-Mons,2023-09-02,0.3803617867036713,0.09152983140542378,0.18991813982722958
Estrees-Mons,2023-09-09,0.3257997501696719,0.0,0.17941345300936912
Estrees-Mons,2023-09-10,0.3883814892269995,0.0,0.2359858117609284
Estrees-Mons,2023-09-18,0.3239352562588764,0.0,0.17183958803766236
Estrees-Mons,2023-09-25,0.3466677775055167,0.0,0.29896398206770997
Estrees-Mons,2023-09-26,0.3386526622008122,0.0,0.321270828999149
Estrees-Mons,2023-10-03,0.3005875747533136,0.0,0.023450610095297364
Estrees-Mons,2023-12-31,0.047304428041019,0.03666746121444313,0.0
Borgo Cioffi,2023-05-22,0.5153715705956522,0.0,0.31270626913182015
Borgo Cioffi,2023-05-30,0.1118764629848206,0.0,0.0
Borgo Cioffi,2023-06-23,0.0,0.0,0.08671051668645242
Borgo Cioffi,2023-07-09,0.6877590287681339,0.0,0.7281281739465693
Borgo Cioffi,2023-07-17,0.7137879883280148,0.0,0.7977346319233592
Borgo Cioffi,2023-07-25,0.6953120338775507,0.0,0.7874790832422504
Borgo Cioffi,2023-08-10,0.6288813859661869,0.0,0.539230625649161
Borgo Cioffi,2023-08-18,0.6028557762926581,0.0,0.6852339194924255
Borgo Cioffi,2023-08-26,0.6273600743150297,0.0,0.643557054683444
Borgo Cioffi,2023-09-03,0.4340846100285562,0.0,0.3383702694860604
